2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Tax::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\tax.php on line 7
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Tax::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\tax.php on line 8
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Weight::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\weight.php on line 7
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Weight::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\weight.php on line 8
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Length::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\length.php on line 7
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Length::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\length.php on line 8
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 7
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$customer is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 8
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$session is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 9
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 10
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$tax is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 11
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$weight is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 12
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getExtensions is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getExtensionsByType is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getExtensionByCode is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStartups is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getEvents is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLayout is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getModules is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getModule is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:21 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTheme is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getBanner is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$resize is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTranslations is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getProduct is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getProducts is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSpecials is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotalSpecials is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLatest is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getAttributes is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getOptions is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getDiscounts is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getImages is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getRelated is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLayoutId is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getCategories is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotalProducts is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSubscription is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSubscriptions is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$addReport is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getInformation is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getInformations is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:22 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLayoutId is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getProducts is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getVouchers is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotals is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
